# HOTD2 global data labels — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
#
# Regenerate:  ./ghidra/run.sh export-annotations
# Replay:      ./ghidra/run.sh apply-annotations
#
# Windows TEB fields and resource labels are excluded: Ghidra creates those itself.
#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

004330c4	g_class33_selector_targets	jump targets for spawn class 0x33
00592ae0	g_thrown_weapon_states	The projectile's two states: flight (ThrownWeaponFlyToTarget) and deflected (ThrownWeaponDeflected). Sits immediately before g_class30_states.
00592ae8	g_class30_states	59 entries, indices 0x00-0x3A, ending at 0x00592C74 where a table of DATA pointers (0x00565FDC...) begins; the zombie's state machine. Indices 0x00 and 0x31 are both the stub at 0x0041EBB0. (This row previously said 54; the raw bytes say 59, and 0x36-0x3A are ActorCheckWaterEntry, FUN_004569B0, FUN_00456B70, ZombieStrikeStartSplash and ZombieStrikeFrameSplash.)
00592bc0	g_class30_draw	the zombie's draw pointer, immediately after its state table
00592cbc	g_pHitReactionMotionsAlt	Per character type -> per body condition -> a row whose entries at +0x10 are indexed by the last-hit zone (obj+0x1319). Taken only when obj+0x136C & 0x100, which is [open].
00592dc0	g_class30_attack_picks	Per character type -> per body condition -> s32[80]: which attack to use, indexed (rand%10 + (destroyed_zones & 7) * 10). Ten choices per destroyed-zone combination, so a zombie that has lost its head or an arm reaches for a different attack.
00592f18	g_class30_attacks	Per character type -> per body condition -> 0x10-byte attack entries: {s16 strike motion; s16 lunge motion; f32 distance; s16 hit frame; s16 player damage motion; u16 cancel mask}. The cancel mask names zones (1 head, 2 right arm, 4 left arm) whose destruction makes the strike whiff; 8 is outside the 3-bit mask and so never cancels, and 0 whiffs unconditionally (ActorStrikeConnect tests masked != mask). A hit frame is NOT bounded by its own clip: types 0x07, 0x0B and 0x0C share a condition-4 entry 2 at 0x00566E70 of {997, 1051, 26.0f, 40, 9, 1} where g_motion_play_length[997] is 20, and ZombieStateStrike's strike test is an exact equality against the play cursor while its exit is play_length - 1, so that entry can never land. It is the crawlers' undamaged attack and it is meant to miss.
00592fc8	g_pHitReactionMotions	Per character type -> per body condition (obj+0x130C) -> u32[8] motion ids indexed by g_bone_reaction_group. Only two distinct rows exist for the humanoids: the ordinary one is head 977, torso 982, r.arm 981, l.arm 979, pelvis 974, r.leg 961, l.leg 960.
00593084	g_pDeathMotionsArc8000	6 death motions for the 0x8000 arc: 985, 989, 987, 988, 989, 990. Their root carries z by +7.4/+8.2
0059309c	g_pDeathMotionsArc0	4 death motions for the 0x0000 arc: 985, 986, 988, 990. Their root carries z by -8.7/-9.5/-9.3
00593170	g_zombie_thrown_weapon_states	The four states ZombieThrownWeaponUpdate dispatches on: 0 the shared no-op, 1 ZombieThrownWeaponStateStraight (the axe), 2 ZombieThrownWeaponStateArc, 3 ZombieThrownWeaponStateShotDown. Class 0x30's projectile is a separate family from class 0x31's at g_thrown_weapon_states (0x00592AE0), which has two states rather than four.
00593358	g_class_handler_pairs	{class_id, handler}, 56 entries, negative id terminates
00593580	g_class41_constructors	79 entries, indexed by obj+0x130C
005936bc	g_class41_updates	79 child entry functions
005937f8	g_breakable_hull_points	96 x {s16 x, s16 y, s16 z}, scaled by 0.001, the prop's collision hull. BreakablePropGroundContact transforms all 96 to find which corner a toppling prop lands on.
00593a78	g_shatter_fragment_offsets	15 x {s16 x, s16 y, s16 z} in thousandths -- where each shatter fragment starts, relative to the prop.
00593ad4	g_shatter_fragment_angles	15 x {s16 rx, s16 ry, s16 rz} in BAMS -- each shatter fragment's initial orientation.
00593cf0	g_breakable_group_ptrs	nine pointers to 10-byte member records
00593d14	g_breakable_group_counts	nine member counts: {4,2,3,9,5,3,3,6,7}
00593db8	g_prop_kind_params	Per class-0x41-type-4 object kind, stride 0xC: {s16 effect_id @+0, s16 effect_arg @+2, ..., s16 radius @+8}. PlaceKindedProp copies them into the prop's +0x324/+0x328/+0x124.
005945d8	g_class41_fragment_counts	One byte per class 0x41 type-40 sub-kind: how many objects PlaceFragmentProps builds for it. 8, 12, 4, 15, 9, 2, 6, 2, 1, 2, 3, 3, 4, 1, 1, 12, 1, 3, 2, 2 for sub-kinds 0..19. Sub-kind 9 -- the route-branch pair -- is 2, which is why PropUpdateType40's branch needs g_branch_prop_shot_count to reach exactly that.
00595058	g_item_pickup_slot	Per item kind, stride 0xC: the u16 asset slot the pickup is drawn with. g_item_score_table is the s16 two bytes further into the same record.
0059505a	g_item_score_table	per-kind pickup score, stride 0xC
00595060	g_item_pickup_y_offset	Per item kind, stride 0xC: the float height the pickup is released at above the prop that hid it.
005957d8	g_original_item_records	One 0xC record per Original Mode item id: u16 model slot, u16 second model slot, f32 draw scale, u16 pickup id passed to FUN_00475E40.
00595aa0	g_original_item_tables	Pointer per scene index to that scene's Original Mode item table, read by PickOriginalModeItem: stride 8, entries at +0..+3 (item ids) and cumulative rand() weights at +4..+7.
00595ab8	g_class44_subtypes	18 entries, indexed by obj+0x11C
005960b4	g_pHingeCurvesXYZ	hinge swing curves, 6-byte {s16 rx, ry, rz} frames. Curve 2 is the van doors: 179 deg by frame 12, settling to 137
005960c8	g_pHingeCurvesYaw	hinge swing curves, u16 yaw-only frames (XOR EDX,EDX; MOV DX -- zero extended). HingeUpdate switches on the selector at 0x473E8D, not on which pointer is populated: 0/2/3 read g_pHingeCurvesXYZ and everything else reads this. Slot 1 is 60 frames, slot 4 is 130
005961f0	g_script_flag_effect_cues_a	s16 frames at which ScriptFlagEffectUpdate plays PlaySoundId(0x1816A9) for effect id 2: 28, 69, 86, 98, 118, 127, 144, 162, 175, then -1. Compared for equality against obj+0x32C -- the play cursor, not the authored key -- with the cursor into this list at obj+0x2A4.
00596204	g_script_flag_effect_cues_b	The same list for every other effect id ScriptFlagEffectUpdate can carry, which in the shipped data is only effect 3: 32, 72, 92, 122, 142, 154, -1. Cursor at obj+0x2A8. Contiguous with g_script_flag_effect_cues_a, which is what fixes that list's length at 10.
00596218	g_class14_states	Class 0x14's 21 state handlers, indexed by g_class14_state+0x04. Entries 0 and 3 share Class14StateEntranceA and 1 and 4 share Class14StateEntranceB, which is how one descriptor byte picks between the short and the full stage-2 boss fight.
0059626c	g_class14_anim_cues	Class 0x14's animation records, one per anim slot: the motion id, then {frame, code} pairs, then 0xFFFF and a two-short tail. Reached through g_class14_anim_slots.
00596408	g_class14_anim_slots	30 pointers into g_class14_anim_cues, indexed by g_class14_state+0x62. The first short of the record each one names is the motion, and the ids run 21..58 -- boss2.bin's own bank.
00596620	g_class14_summon_delays_a	16 bytes, indexed by the adaptive rank at g_class14_state+0x96: how many frames Class14StateSummonRoundA leaves between two class-0x51 water enemies. 75 at rank 0 down to 40 at rank 15.
00596630	g_class14_summon_delays_b	16 bytes, the same for Class14StateSummonRoundB: 70 at rank 0 down to 35 at rank 15.
00596640	g_class14_summon_counts	16 rows of 3 bytes, indexed by the adaptive rank and by the round counter at g_class14_state+0x9C: how many water enemies that round places. {5,4,3} at rank 0 up to {9,8,7} at rank 15.
00596670	g_class14_phase_hp_frac	10 floats, indexed by the phase at g_class14_state+0x08. Class14AdvancePhase ends the phase when obj+0x11C <= obj+0x11E times this: 0.5333, 0.3333, 0, 0.5333, 0.3333, 0.2222, 0.1111, 0, 0.5, 0. The zeroes are the phases that end in a death rather than in another phase.
00596698	g_class14_bone_damage	16 rows of 2 bytes, indexed by class 0x14's adaptive rank at g_class14_state+0x96 and then by g_players_in_play - 1: how many hit points one shot takes off the stage-2 boss before the mode multiplier. 30/28 at rank 0 down to 16/13 at rank 15, so two players do less each and a player who is winning does less. Read at 0x00476756 as [EAX + EDX*2 + 0x596697], which is this table with the player count folded into the base.
00596738	g_class32_states	Class 0x32's state table: THIRTEEN function pointers dispatched by Class32Update as CALL dword ptr [EDX*0x4 + 0x596738] with EDX = (short)obj+0x1310. Read out of the image: [0] Class32StateWaitCamAndFlags (0x00480050), [1] Class32StateMoveToFixedPoint (0x0047D120), [2] Class32StateDeathSequence (0x00480140), [3] Class32StateDeathRetire (0x00480290), [4] Class32StateRaiseFlagAndLeave (0x00480470), [5] 0x0047CA50, [6] 0x0047D220, [7] 0x0047D410, [8] 0x0047D5E0, [9] 0x0047D890, [10] and [11] both 0x0047DD50, [12] FUN_0041EBB0 -- the bare RET BuildClassHandlerTable uses to fill unmapped slots. An earlier version of this row listed the entries starting at index 2 and called them eleven; the base address was right and the list was off by two, which is why Class32StateRaiseFlagAndLeave's own row cites 0x00596748 (the ENTRY, = base + 4*4) rather than the base. Per-state float constants follow at 0x00596770 (a WORD, the state Class32StateMoveToFixedPoint hands to), 0x00596774 and 0x005967A0.
00596b18	g_class25_path_offsets	Class 0x25 object-path attachment offsets, read by ScriptedHumanoidStepPath via op 11's record index at obj+0x1360: LEA EAX,[EAX+EAX*2]; LEA EBP,[EAX*8 + 0x596b18], so 24 bytes a record -- three floats, then a BAMS yaw delta at +0x10. The floats are rotated by the PATH's rx/ry/rz as CamEvalObjectPath6 returns them (not the actor's) and added to the path point. 15 records, 0x00596B18..0x00596C7F, ending exactly where g_class25_bone_prop_cels (0x00596C80) begins -- that abutment is what closes the extent, which was [open]. Records 0..14: {0,0,0}; {4.5,3,-1.5,dyaw 0x8000}; {-7.35,0,3.78}; {-1.54,0,6.97}; {4.62,-8,1.42,0x8000}; {-4.78,-8,0.86,0x8000}; {4.56,-8.28,-7.02,0x8000}; {-4.68,-8.28,-7.02,0x8000}; {0.56,0.89,-3.12}; {2.66,0.89,4.18}; {-4.92,0,0,0x8000}; {4.95,0,0,0x8000}; {4.5,6.6,-2.9,0x18e3}; {4,6.6,-6.5,0x18e3}; {5,6.6,0.7,0x238e}. Shipped data reaches indices 1..5 only.
00596c80	g_class25_bone_prop_cels	u8[13]: 00 01 02 03 04 05 06 05 04 03 02 01 00 -- a ping-pong ramp 0->6->0. ScriptedHumanoidBoneDrawHook (0x00485260) indexes it with (obj+0x1334 %% 13): MOV ECX,0xd; CDQ; IDIV ECX; MOVSX EDX, byte ptr [EDX + 0x596c80] -- EDX after IDIV is the REMAINDER, so the index is 0..12 and the table is exactly 13 entries long. That exact fit is the structural check on the whole reading. The cel is added to a per-character asset-slot base and the sum is drawn. Used by the obj+0x1330 == 2 arm.
00596c90	g_class25_bone_prop_cels_alt	u8[13]: 00 01 01 01 01 01 01 01 00 00 00 00 00 -- a two-cel blink over the same 13-frame cycle. The counterpart of g_class25_bone_prop_cels (0x00596C80), read the same way -- (obj+0x1334 %% 13) -- by ScriptedHumanoidBoneDrawHook at 0x004854C5, on the obj+0x1330 == 1 arm.
00597298	g_class19_states	Class 0x19's state table, 24 entries, dispatched by Boss4Update on the byte at state+0x04. Entries 0 and 2 share Boss4StateEntranceCarried and 1 and 3 share Boss4StateEntranceDropped, which tell themselves apart by the state index.
005972f8	g_boss4_intro_banners	Two 0x40-byte BossIntroBannerUpdate records, one per class-0x19 entrance pair. s16 +0x00 the script flag to wait for (30), +0x02 the camera path (181, 189), +0x04 the frame the banner ends on (300), +0x06 a message id (0x1873); then two float quads the sprite fade reads.
00598778	g_d3du_unused_fov_degrees
00598ab0	g_SrcBlendTable
00598ad0	g_DstBlendTable
00598af0	g_TexAddressModeTable
00598b00	g_ZFuncTable
00598b20	g_CullModeTable
0059c988	g_camera_is_tracking	Zeroed by SelectCameraLookAtTarget when no enemy is registered; CameraTrackEnemiesTick uses it to choose between the angle-error curve and a flat rate.
0059d898	g_coli_dynamic_matrix
0059d8d8	g_coli_query_ref_x
0059d8dc	g_coli_query_ref_y
0059d8e0	g_coli_query_ref_z
0059d8e4	g_coli_dynamic_count
0059d8e8	g_shot_test_list	stride 5 dwords
0059ecd8	g_coli_candidate_sort_keys
0059f4d0	g_coli_candidates	hit candidates, stride 0x3C, sorted by the distance keys at 0x0059ECD8
005a3098	g_coli_dynamic_list
005a4488	g_coli_candidate_sort_scratch
005a4c80	g_shot_test_count
005a4c84	g_coli_candidate_count	entries in g_coli_candidates this frame
005a4c88	g_coli_dynamic_blob
005a4d50	g_distance_rank_count	How many actors are in the distance-rank queue this frame. RegisterForDistanceRank (FUN_00409010) refuses the fifteenth caller (CMP ESI,0xE), RankEnemiesByDistance zeroes it at the end of its three passes, and FUN_00409080 zeroes it at scene setup. RegisterForDistanceRank has exactly one caller in the whole binary -- EnemyZombieUpdate at 0x0045346D -- so the queue holds class-0x30 actors and nothing else, and obj+0x131D/0x131E are written only onto those.
005a4d58	g_distance_rank_list	The distance-rank queue: 14 pairs of {u32 key, actor*} at stride 8, key at +0x00 and the actor pointer at +0x04 (0x005A4D5C). The key is |actor.xz - camera.xz| scaled by g_camera_track_key_scale and converted with __ftol, so it is a u16 -- which is why SortEnemiesByDistance radix-sorts it in exactly two 8-bit passes. RankEnemiesByDistance's second pass nulls the pointer of any entry that is not live or that carries obj+0x34 bit 0x20000000, and its third pass numbers the survivors into obj+0x131E.
005a4dc8	g_camera_candidates	{u32 distance key; void *actor} pairs, at most 14, radix-sorted nearest-first before the slots are assigned.
005a4e38	g_distance_rank_scratch	SortEnemiesByDistance's ping-pong buffer: the {key, actor*} pairs are counted into a 256-bucket histogram, scattered here, and copied back to g_distance_rank_list, once per 8-bit digit. Not read anywhere else.
005a4ea8	g_actor_voice_kind4	The two dwords ActorPlayHitVoice's kind 4 reads -- 0x005A4EA8 for voice set A and 0x005A4EAC for set B. BOTH ARE ZERO IN THE IMAGE AND NOTHING WRITES THEM: the only two references in the whole binary are the reads at 0040A849 and 0040A852, a byte search for the little-endian address finds one instruction, and no call site anywhere passes 4. The nearest writer that could reach them is the {key, actor} scratch buffer SortCameraCandidates and SortEnemiesByDistance share at 0x005A4E38, whose 14 entries end at 0x005A4EA7 -- one dword short -- and both feeders are capped at 14 (g_camera_candidates, and RegisterForDistanceRank's CMP ESI,0xE). So kind 4 reaches PlaySoundId(0), which early-outs. Kind 4 plays nothing.
007c17a0	g_app_state_pending	The REQUESTED application state, -1 for none. RequestAppState (0x0040E850) writes it, ClearPendingAppState (0x0040E840) and CommitAppState (0x0040E860) reset it to -1. CommitAppState runs at the end of the per-frame tick FUN_0040E730 and applies the request there. It is NOT the only writer of g_app_state: five functions write it across six sites (FUN_0049F380 twice, CommitAppState, FUN_0040E4A0, FUN_0040A920, FUN_0041E1D0), and at least FUN_0049F380 (c705988e9c0006000000 @ 0x0049F546, storing 6) and FUN_0040E4A0 (storing 0x10) store a literal straight into the word, so a change does not always land on a frame boundary. [proved]
007c1eb8	g_rain_particles
007c2118	g_backdrop_preset_last
007dcbb0	g_water_level	seeded to -24.90; class 0x16/0x17 own the wave field
007dcbd8	g_body_creature_hosts	The creature's link back to the zombie that released it, and the ONLY thing this table does: three xrefs in the whole image, all three in SpawnBodyCreature / BodyCreatureInit / BodyCreatureUpdate. SpawnBodyCreature writes g_body_creature_hosts[host+0x3C] = host and gives the new object that index at +0x1350; the creature reads the host back through it every frame. Indexed by the HOST's g_hit_slots index (obj+0x3C, 14 slots, claimed by ActorClaimHitSlot) -- so a host that never claimed one indexes -1, which is [open] and unreachable in the shipped data only if every znjoe claims a slot.
007dcc4c	g_water_wave_field	The wave-field manager: {u32 active count; u32 slot mask; f32 plane_y; u32; void *sources[8]}. Created by class 0x16, filled by class 0x17.
007dcca4	g_evt_gameplay_live	Recomputed once per frame at the top of EvtInterpreterLoop and read by nothing else: 'may the script advance'. Set when a player is in state 5 with lives left (in 2P mode, state 5 alone for either player), else FUN_00413280(). Every wait opcode except 0x41 requires it, so the script -- including wait_frames' countdown -- freezes on the continue screen rather than running on while the player is dead.
007dcca8	g_evt_wait_alive_hysteresis	The extra frame wait_enemies_alive costs. Used ONLY by EvtOpWaitEnemiesAlive44 -- 0045FC42 reads it, 0045FC4B and 0045FC60 write it, and those three are every reference in the program. The handler requires 0 < it before it will pass, zeroes it when it does, and increments it on every frame it does not. It is NOT reset when the count condition fails, so it does not mean 'the g_enemies_alive condition must hold for two consecutive frames' -- an earlier note here said that and it is wrong. It means 'this instance of the instruction must already have been evaluated once and refused'. On top of g_evt_yield's first-visit yield that makes 0x44 the only wait in the VM that cannot pass before its third frame on the program counter; 0x43 is the same handler without this term and costs two.
007dcccc	g_nRunPhaseDelay	Frames left before RunPhaseStepToNextScene picks the next scene. RunPhaseArmSceneAdvance seeds it with 1, so the advance lands on the very next frame.
007dcd14	g_original_item_pickup_blocked	One byte with twelve writers across class 0x41 and 0x44 and exactly one reader: OriginalItemPropUpdate (FUN_004675A0) at 0x0046769E jumps past its whole pick-up arm -- the award, the g_original_items_taken tally, PlaySoundId(0x3616A9) and the 0x32-frame fade -- while it is non-zero. So a prop that sets it takes the original-mode collectibles out of play for as long as it holds it, and PropUpdateType75 is one of them: it clears the byte on the frame it is shot and sets it again 290 frames later when its ride ends. Not modelled in the port: nothing there transcribes the arm it gates.
007dcd18	g_chain_segments	The chain segment table PlaceChainSegments fills and ChainSegmentUpdate re-registers into every frame, indexed [group * 0x14 + segment] over 20 segments a group. Segment 0's +0x1B0 is the latch that stops chain group 1 opening its route twice.
007dcdd4	g_breakable_members	group*9 + member -> the live BreakablePropUpdate object, or 0 once it is destroyed. Stride 9 because the largest breakable group has nine members. The topple test reads it to find the props a member supports.
007dcf18	g_branch_prop_shot_count	How many of PropUpdateType40's sub-kind-9 props have been broken this run. That routine increments it on each break while g_GameMode == 1, and at 2 -- both of them -- with g_script_flags[0x11] raised it writes g_script_branch_var = 2 and stores -1 here so the route opens once.
007dcf1c	g_class14_char	The class-0x14 boss's character instance, obj+0x194. Re-seated at the top of Class14Init and Class14Update, so the whole class reads it as a singleton rather than passing the actor down.
007dcf20	g_class14_state	The class-0x14 boss's 0xBC-byte behaviour block, allocated by Class14Init and also held at obj+0x1310. +0x00 flags, +0x04 state (into g_class14_states), +0x05 sub-state, +0x06/+0x07 the state and sub Class14StateCuedMotion returns to, +0x08 the phase Class14AdvancePhase walks, +0x10..+0x18 the latched target point, +0x1C..+0x24 the route direction, +0x28..+0x54 the four route corners from the descriptor tail, +0x62 the anim slot, +0x94 a bone counter, +0x96 the adaptive rank, +0x9C..+0xAC the summoning counters.
007dcf24	g_class14_xform	The class-0x14 boss's transform block, obj+0x40: position at +0x00, velocity at +0x0C, gravity at +0x1C, yaw at +0x28.
007dd09c	g_cur_actor_model	Scratch pointer to the skinned-model block of the object being updated -- obj+0x194 for class 0x10. Its +0x08 is the clip frame, +0x20 the motion id, +0x60 the character type, +0x116C the draw scale and +0x1170 the part list.
007dd0a0	g_cur_civilian	Scratch pointer to class 0x10's 0xC4-byte script block at obj+0x1310. +0x00 the wait word, +0x0C the clip's remaining loops, +0x14 the wait timer, +0x1E the surviving-child count, +0x48 the script cursor, +0x4C the on-shot script, +0x5C the per-frame hook, +0x60 the child array, +0x6C the player a rescue pays.
007dd0a4	g_cur_actor_xform	Scratch pointer to the transform block of the object being updated -- obj+0x40. Floats 0..2 position, 3..5 the per-frame step op 0x26 interpolates by, 9..11 pitch/yaw/roll.
007ddaa8	g_screen_sprites	The 2D screen-sprite array ScreenSpriteRegister (0x0049E950) appends to: 64 slots of 0x28 bytes, {void* tex; float x, y, w, h; u32 a, b, c, d; u32 visible}. +0x24 is the visibility flag ScreenSpriteSetVisible writes. The slot index is registration order, which is how the title menu addresses its rows arithmetically.
007de4a8	g_screen_sprite_count	How many g_screen_sprites slots are in use. ScreenSpriteRegister refuses at 0x40 and otherwise uses the pre-increment value as the new slot index.
007de5c8	g_d3du_unused_projection
007e7948	g_projection_matrix_cache
007e7990	g_MatrixStackTop
007e7994	g_matrix_mode
007e7998	g_render_light_colour_r
007e79a4	g_render_ambient
007e79a8	g_render_light_dir_x
007e79b4	g_render_light_generation
008111e0	g_class43_attack_token	Class 0x43's one-at-a-time attack permit: -1 means free, otherwise the obj+0x228 of the owl that holds it. OwlStateWaitLaunchDelay and OwlStateCircleHoldingPoint refuse to begin an approach unless they read -1; OwlStateRideApproachSpline and OwlStateOrbitAwayAfterStrike stamp their own index into it on launch; OwlStateDiveAtCamera and the death path in OwlUpdateAndResolveShot give it back. Every reference in the image is class 0x43's -- the one hit outside (0x0048213B) is CMP EBP, 0x8111E0, an end-of-array bound for an unrelated table.
008111f0	g_class43_members	void*[4], indexed by obj+0x228: the four owls of a group. Written by PlaceOwlFlockMember and by every OwlUpdateAndResolveShot, and READ BY NOTHING in the image. Stage 2 block 5's two subtype-0 records reuse indices 0 and 1, so they overwrite the subtype-1 owls' slots -- with no reader that has no visible effect, but it does mean two owls there share a launch delay and a climb offset.
0098f200	g_coli_buffer_common
00990a00	g_coli_buffer_scene
009a1a08	g_scene_index	Which scene is loaded, zero-based -- ColiLoadForScene indexes its file list with it, so scene 1 is stage 2. Class 0x41 and class 0x40 branch on it for the per-stage sound sets and for PropExpireByStepLifetime's scene-1 sweep.
009a1a10	g_evt_action_advance	Dequeue mode for EvtRunQueuedActions. 0 = the current handler is still running, do not dequeue; 1 = it finished, dequeue the next action AND call it in the same frame; 2 = it finished, dequeue but defer the first call to next frame. Always cleared to 0 on a dequeue, so a handler must re-assert it. Every action handler ends with 1 except EvtActionFinishSequence21, which sets 0 to keep its camera driver alive. Script resets use 2; evt 0x33 writes it from an operand (127x mode 2, 1x mode 1 across the shipped scripts).
009a1a14	g_coli_pending_full_list
009a1a18	g_nSkipRequested	CORRECTION: previously named ...DeadEnd on the basis that nothing read it. CheckCutsceneSkipRequest does -- it is only ever reached through a function pointer, so no xref showed it
009a1a88	g_entity_light_array	stride 0x1D dwords
009a21ba	g_civilians_seen_total	u16. Every class-0x10 actor created across the run; CivilianInit raises it beside the per-scene g_civilians_seen_by_scene. Zeroed by ResetGameOnStart only.
009a2226	g_title_menu_cursor	Which row of the title menu is highlighted, 0..7, wrapping at both ends (TitleMenuUpdateAndSelect, 0x00496960). Rows 0..3 are the g_GameMode values -- Arcade, Original, Training, Boss -- and 4..7 are RANKING, OPTION, NETWORK and EXIT, which request app states 8, 0x0C and 0x0F or call FUN_0049E930. TitleMenuRegisterSprites names each row: the highlighted one is ScreenSpriteRegister slots (cursor+2)*3 .. +2. NetworkModeRunPhase reads it again when it enters play.
009a2230	g_cutscene_skipping	Non-zero while a skippable cutscene is being skipped. [likely], named from its three writers, all already identified: EvtOpSetSkippableRegion2C (0x0045FD9D), CheckCutsceneSkipRequest (0x00435F7C) and FinishCutsceneSkip (0x00435FA0). Readers tear their scripted actor down at once when it is set: ScriptedHumanoidUpdate (0x004842A0, first instruction) and ScriptedHumanoidIdle (0x00484D40, first instruction) both free the model handle at obj+0x1304 and ActorKill, gated on word obj+0x1316 being zero in the Update's case; CivilianUpdate (0x0048AF8E) and CivilianRunScript (0x0048BF36) do the same for class 0x10. EvtOpPlayDialogue2D and DrawDialogueSubtitleTask also read it. Not modelled by the browser player, which has no skip.
009a2240	g_original_item_slots	The two-slot Original Mode inventory, per player, stride 0x14. PlayerHoldsOriginalItem reads it; three of the branch triggers only open their route while the player is carrying the right id.
009a2248	g_player_magazine_size	+0x08 of the per-player Original Mode block at g_original_item_slots, stride 0x14. PlayerRefillMagazine uses it in place of the literal 6 when g_GameMode is 1 and it is not -1. ResetOriginalModeLoadout seeds it with 6.
009a2249	g_original_weapon_kind	+0x09 of the same block: which Original Mode weapon this player carries. 0 in arcade, and every arm that reads it is behind g_GameMode == 1. 3 draws no muzzle flash and adds the 0x53 blast to a hit, 4 swaps the flash's second scale to 0.75 and arms g_shot_weapon_ring, 5 sends the tracer down the object-path arm at half speed.
009a224a	g_original_weapon_sound_kind	+0x0A of the per-player Original Mode block at g_original_item_slots, stride 0x14. Indexes both g_original_weapon_gunshot_ids and g_original_weapon_reload_ids, and is read by nothing else. ResetOriginalModeLoadout writes it 0 -- it is the second byte of the dword 0x03000006 stored at +0x08 -- and no instruction in the image references 0x009A224A to write it, so on the reading so far both weapon sound tables are dead and even Original Mode fires g_gunshot_sound_ids[player]. Distinct from g_original_weapon_kind at +0x09, which the muzzle-flash and tracer arms read.
009a2280	g_class_handlers	112 slots, built by BuildClassHandlerTable
009a244a	g_one_hit_target_kills	Incremented by OneHitTargetUpdate (0x004491FD) the frame a class-0x20 actor is shot. Also written by FUN_00497640 and read/written by FUN_004525C0; what reads it for is [open]. It is NOT g_enemies_alive: class 0x20's Init increments no counter, so no wait_enemies_alive gate ever sees one of these actors.
009a2460	g_shot_tracer_ring	The bullet each shot throws, same shape and cursor as g_shot_flash_ring. +0x04/+0x08/+0x0C the point in WORLD space, +0x18 the billboard spin in BAMS, +0x1C/+0x20/+0x24 the velocity a frame, +0x28 the frame counter (dead past 0x3B), +0x2C the weapon kind, where 5 is the Original Mode arm that rides object path 0x194 and draws slot 0x109D.
009a26a0	g_cur_actor
009a2700	g_shot_weapon_ring	The third per-shot ring, written only in Original Mode and drawn only for weapon kind 4: 24 frames from asset slot 0xA6F at scale 0.05, at a camera-space point with a random roll at +0x18. Same 6-per-player stride 0x30 shape as the other two.
009a2960	g_shot_flash_ring	The muzzle flash left by each shot: 6 records a player, stride 0x30, indexed (cursor + player * 6). +0x00 s16 live, +0x02 s16 player, +0x04/+0x08/+0x0C the point in CAMERA space, +0x10 pitch and +0x14 yaw in BAMS, +0x28 the frame counter (dead past 8, so nine frames), +0x2C the Original Mode weapon kind.
009a2ba0	g_attack_permits	s32[2], one per player, stride 4 -- not bytes; DAT_009A2BA4 is element 1. An approaching enemy must claim one through TryClaimAttackSlot before it may attack, so only g_max_attackers enemies commit at a time. The holder's index is kept in obj+0x121, and SelectCameraLookAtTarget focuses the camera on whoever holds one. Class 0x31 state 27 bypasses the claim and writes the slot itself.
009a2bb0	g_evt_step_index	The event VM's STEP index -- not a block counter and NOT monotonic. EvtAdvanceStepOrRoute increments it at the top and assigns it 1 in the route branch, so it runs 1..k within a block and drops back to 1 on a block change; FUN_0045EBC0 seeds it with 0, 1 or 5 by game mode. Class 0x41 and 0x44 props age one tick every time it CHANGES (PropExpireByStepLifetime), which makes obj+0x11C a lifetime in STEPS. Blocks average 3.99 steps, so reading it as a block count makes props live about four times too long. A block with one live step goes 1 -> 1 across its transition and does not age a prop at all.
009a2bc0	g_evt_block_index	The event block currently executing, written by EvtAdvanceStepOrRoute and recorded byte-wise into g_route_history. NOT g_evt_step_index (0x009A2BB0), which is the step index within the current block and is what prop lifetimes measure. It is ALSO how a stage hands the next stage its starting point: on the scene-over path EvtAdvanceStepOrRoute writes it from the terminal route record's next[0], and nothing between there and FUN_0045EBC0 -- not AdvanceToNextScene, not LoadSceneAndReset, not ResetSceneOnEnter -- touches it again.
009a2be0	g_enemy_approach_rings
009a2be4	g_enemy_approach_ring_mid	f32, stride 0xC, one per ring set. The middle radius; see g_enemy_approach_rings.
009a2be8	g_enemy_approach_ring_outer	f32, stride 0xC, one per ring set. The outer radius; see g_enemy_approach_rings.
009a2c10	g_boss_mode_grades	Ten bytes, one per Boss Mode entry, saturating at 5. BossModeRecordGrade (0x00425F40) returns at once unless g_GameMode == 3 and otherwise increments the entry at DAT_009A2268 -- or the second byte of the pair at 0x009A2C18 when DAT_009A2BBC == 1 and the index is 8 -- while the achieved rank DAT_009C8FB0 is at least the stored value and no more than 4. All ten at 5 bumps DAT_009C90C6/D3/DD; all ten non-zero ORs 4 into DAT_009C9F5E. Copied into the 0x009C9F33 save block alongside g_original_items_taken. That there are TEN of them against six scenes is [open].
